codigo_ocorrencia4;recomendacao_numero;recomendacao_dia_assinatura;recomendacao_dia_encaminhamento;recomendacao_dia_feedback;recomendacao_conteudo;recomendacao_status;recomendacao_destinatario_sigla;recomendacao_destinatario
44796;RSV (A) 306 / 2011 - CENIPA;2011-09-29;2013-08-06;NULL;Estabelecer na Seção 3, Procedimentos de Emergência, do Manual de Voo (L 410 UVP-E20 Flight Manual), página 15, item 6, se os 1500ft são AGL ou acima da altitude do campo, informando as atualizações aos operadores.;AGUARDANDO RESPOSTA;LET;LET AIRCRAFT INDUSTRIES
44796;RSV (A) 307 / 2011 - CENIPA;2011-09-29;2013-08-06;NULL;Incluir na Lista de Verificações de Emergências (Checklist of Emergency L410 UVP-E20 Brazilian Airplane Flight Manual), página E-4, no item 08 (Airspeed 107 KIAS), a informação para se manter os 107 KIAS até 1500ft, conforme descrevem a Seção 3, Procedimentos de Emergência, página 15, item 06, e a Seção 5, Desempenho, item 5.6, páginas 33, 34 e 35, do Manual de Voo (L 410 UVP-E20 Flight Manual), informando as atualizações aos operadores.;AGUARDANDO RESPOSTA;LET;LET AIRCRAFT INDUSTRIES
44796;RSV (A) 308 / 2011 - CENIPA;2011-09-29;2013-08-06;NULL;Definir no Programa de Treinamento (L 410 Aircraft Pilot Type Training Program), Chart 6, página 29, a altura mínima para iniciar curvas, nas situações em que não haja a interferência de obstáculos, levando em consideração o segmento 3b do perfil de decolagem com um motor inoperante (L 410 UVP-E20 Flight Manual, Section 5, Performance, item 5.6), informando as atualizações aos operadores.;AGUARDANDO RESPOSTA;LET;LET AIRCRAFT INDUSTRIES
44796;RSV (A) 309 / 2011 - CENIPA;2011-09-29;2013-08-06;NULL;"""Reavaliar, na Lista de Verificações de Emergências (Checklist of Emergency L410 UVP-E20 Brazilian Airplane Flight Manual), página E-4, na emergência """"Falha do Motor Durante a Decolagem - Depois da V1"""", o fato de o item 5 (AUTO BANK CONTROL switch OFF) requerer a execução a 200ft acima da pista e não ser marcado com asterisco.""";AGUARDANDO RESPOSTA;LET;LET AIRCRAFT INDUSTRIES
44796;RSV (A) 310 / 2011 - CENIPA;2011-09-29;2011-10-03;NULL;Realizar o treinamento de emergências durante o treinamento inicial, parte prática de solo, conforme o Programa de Treinamento do fabricante (L 410 Aircraft Pilot Type Training Program), item B, página 10.;AGUARDANDO RESPOSTA;NHT;NHT LINHAS AÉREAS
44796;RSV (A) 311 / 2011 - CENIPA;2011-09-29;2011-10-03;NULL;"""Realizar o treinamento inicial e recorrente de  """"Falha do Motor Durante a Decolagem - Depois da V1"""", de acordo com o  L 410 Aircraft Pilot Type Training Program, item 5, páginas 13 e 14.""";AGUARDANDO RESPOSTA;NHT;NHT LINHAS AÉREAS
44796;RSV (A) 312 / 2011 - CENIPA;2011-09-29;2011-10-03;NULL;Realizar o treinamento de emergências durante o treinamento inicial, parte prática de solo, conforme o Programa de Treinamento do fabricante (L 410 Aircraft Pilot Type Training Program), item B, página 10.;AGUARDANDO RESPOSTA;NOAR;NOAR LINHAS AÉREAS
44796;RSV (A) 313 / 2011 - CENIPA;2011-09-29;2011-10-03;NULL;"""Realizar o treinamento inicial e recorrente de  """"Falha do Motor Durante a Decolagem - Depois da V1"""", de acordo com o  L 410 Aircraft Pilot Type Training Program, item 5, páginas 13 e 14.""";AGUARDANDO RESPOSTA;NOAR;NOAR LINHAS AÉREAS
44796;RSV (A) 314 / 2011 - CENIPA;2011-09-29;2011-10-03;NULL;Realizar o treinamento de emergências durante o treinamento inicial, parte prática de solo, conforme o Programa de Treinamento do fabricante (L 410 Aircraft Pilot Type Training Program), item B, página 10.;AGUARDANDO RESPOSTA;SOL;SOL LINHAS AÉREAS
44796;RSV (A) 315 / 2011 - CENIPA;2011-09-29;2011-10-03;NULL;"""Realizar o treinamento inicial e recorrente de  """"Falha do Motor Durante a Decolagem - Depois da V1"""", de acordo com o  L 410 Aircraft Pilot Type Training Program, item 5, páginas 13 e 14.""";AGUARDANDO RESPOSTA;SOL;SOL LINHAS AÉREAS
44796;RSV (A) 316 / 2011 - CENIPA;2011-09-29;2011-10-03;NULL;Realizar o treinamento de emergências durante o treinamento inicial, parte prática de solo, conforme o Programa de Treinamento do fabricante (L 410 Aircraft Pilot Type Training Program), item B, página 10.;AGUARDANDO RESPOSTA;TEAM;TEAM LINHAS AÉREAS
44796;RSV (A) 317 / 2011 - CENIPA;2011-09-29;2011-10-03;NULL;"""Realizar o treinamento inicial e recorrente de  """"Falha do Motor Durante a Decolagem - Depois da V1"""", de acordo com o  L 410 Aircraft Pilot Type Training Program, item 5, páginas 13 e 14.""";AGUARDANDO RESPOSTA;TEAM;TEAM LINHAS AÉREAS
44796;RSV (A) 318 / 2011 - CENIPA;2011-09-29;2013-08-12;2016-01-25;Acompanhar a execução dos programas de treinamento dos operadores de L 410, de maneira a assegurar que a parte prática de solo do treinamento inicial de emergências, atenda, no mínimo, o estabelecido no Programa de Treinamento do fabricante (L 410 Aircraft Pilot Type Training Program), item B, página 10.;NÃO CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44796;RSV (A) 319 / 2011 - CENIPA;2011-09-29;2013-08-12;2016-01-25;Acompanhar a execução dos programas de treinamento dos operadores de L 410, de maneira a assegurar que o treinamento inicial e recorrente da emergência Engine Failure During Take-off - Above V1, atenda, no mínimo, o estabelecido no Programa de Treinamento do fabricante (L 410 Aircraft Pilot Type Training Program), item 5, páginas 13 e 14.;NÃO CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44817;A-019/CENIPA/2014 - 001;2014-06-02;2014-07-29;2016-03-16;"""Atuar junto ao Aeroclube de Rondônia, a fim de que seja observado o cumprimento do disposto no item 3.2 do MCA 58-3 - Manual do Curso de Piloto Privado - Avião: """"alertar os alunos para a necessidade de ser estabelecida uma programação contínua de voo, na qual os intervalos entre as missões da prática de voo não sejam superiores a oito dias consecutivos, a fim de se garantir a eficácia da instrução prática"""".""";CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44817;A-019/CENIPA/2014 - 002;2014-06-02;2014-07-29;2016-03-16;Estabelecer procedimentos que assegurem que o INSPAC a ser escalado como checador, esteja plenamente qualificado para o voo de avaliação, no que se refere aos requisitos de habilitação e treinamento recente.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44837;360/2012;2012-08-29;2012-10-16;2012-10-30;Divulgar o conteúdo do presente relatório aos operadores da aviação geral, enfatizando a importância do cálculo preciso da autonomia, visando atender o disposto na regulamentação e possuir o combustível suficiente para completar o voo planejado.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44838;453/2012;2012-10-17;2012-11-01;2015-02-04;Realizar auditoria técnica junto à Sete Táxi Aéreo, buscando se certificar da adequação dos procedimentos adotados pela manutenção, relacionados ao monitoramento sistemático do estado geral dos pneus das suas aeronaves modelo MU-2B-60.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44838;454/2012;2012-10-17;2012-11-01;2015-02-04;Realizar auditoria técnica junto à Sete Táxi Aéreo, buscando se certificar de que a montagem dos cubos de roda de suas aeronaves modelo MU-2B-60 ocorre em conformidade com o seu respectivo Manual de Manutenção.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44838;455/D/12;2012-10-17;2012-11-01;2014-04-28;Atuar junto à Sete Táxi Aéreo, visando  assegurar-se de que todas as ocorrências relativas às falhas de pneus sejam adequadamente registradas nos Livros de Bordo das aeronaves, e que recebam ações corretivas baseadas nos respectivos Manuais de Manutenção.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44838;456/D/12;2012-10-17;2012-11-01;2014-06-28;Atuar junto à Sete Táxi Aéreo, visando  certificar-se da adequação dos mecanismos de supervisão gerencial adotados pelo operador da aeronave, no que se refere aos cuidados com o estado geral dos pneus das aeronaves modelo MU-2B-60 e à montagem dos seus cubos de roda.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44838;457/2012;2012-10-17;2012-11-01;2015-09-21;Atuar junto à Sete Táxi Aéreo, visando  reforçar junto aos pilotos a importância do adequado monitoramento do estado geral dos pneus das aeronaves para a segurança das operações aéreas.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44838;458/D/12;2012-10-17;2012-11-01;2013-03-13;Divulgar os ensinamentos colhidos da presente investigação, junto às empresas que operam sob as regras do RBAC 135, buscando ressaltar a importância do adequado monitoramento do estado geral dos pneus das aeronaves para a segurança das operações aéreas.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44853;A-516/CENIPA/2016 - 01;2016-06-23;2016-07-14;2016-12-20;Analisar a viabilidade de Inserir, nos Manuais de Instrução de PPH e PCH, na Unidade Didática “Fenômenos característicos e técnicas de pilotagem”, o item “Rolagem Dinâmica”, descrevendo as condições que contribuem para sua ocorrência e os procedimentos a serem adotados pelo piloto numa situação inadvertida.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44853;A-516/CENIPA/2016 - 02;2016-06-23;2016-07-14;2017-01-09;Realizar gestões no sentido de garantir a aplicação dos conhecimentos acerca de “Rolagem Dinâmica” (sua característica e procedimento a ser adotado) nos recheques de INVH, com ênfase para os aspectos de Decisão e de Consciência Situacional, aliados ao cumprimento do procedimento previsto pelo fabricante.;NÃO CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44855;A-543/CENIPA/2015 - 01;2016-11-11;2016-12-14;2017-03-23;Verificar a conformidade do heliponto da empresa Nanete Têxtil Ltda. com relação aos requisitos de segurança para operação de helicópteros.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44878;326/D/11;2012-02-06;2012-02-06;2012-05-07;Intensificar a fiscalização das operações da aviação geral, principalmente nos aspectos ligados ao controle dos pilotos e supervisão das operações, a fim de verificar a conformidade quanto aos requisitos de segurança operacional estabelecidos na legislação aplicável.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44881;A-520/CENIPA/2017 - 01;2017-11-30;2017-11-30;NULL;Atuar junto ao operador da aeronave, o Aeroclube de Ponta Grossa, a fim de que esse aperfeiçoe o treinamento de Crew Resource Management (CRM) aplicado aos tripulantes que nele atuam, a fim de evitar ocorrências aeronáuticas decorrentes de uma deficiente coordenação de cabine.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44885;019/D/09;2009-04-16;2009-04-16;NULL;Confeccionar Tabelas de Desempenho do EMB-202, IPANEMA, para a configuração agrícola, conforme previsto no Manual de Operação, Seção 05, Figuras 5-4, 5-6, 5-7, 5-10 e 5-11, especialmente pelo fato de que a referida configuração é a mais utilizada na operação, bem como para um melhor planejamento do emprego da aeronave por seus operadores.;AGUARDANDO RESPOSTA;EMBRAER;EMPRESA BRASILEIRA DE AERONÁUTICA
44885;A-547/CENIPA/2017 - 01;2018-05-10;2018-05-10;NULL;Analisar a possibilidade de emitir publicação direcionada aos operadores aeroagrícolas recomendando que esses, quando utilizando pistas de pouso eventual, realizem verificações do local de operação, e suas adjacências, antes de pousos e decolagens, a fim de detectar condições que possam comprometer a segurança operacional, como presença de animais ou obstáculos e pista contaminada.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44885;A-547/CENIPA/2017 - 01;2018-09-24;2018-09-24;NULL;Divulgar os ensinamentos colhidos na presente investigação, a fim de alertar pilotos e operadores de aeronaves fabricadas pela Bell Helicopter sobre os riscos decorrentes da não observância dos manuais técnicos durante os serviços de manutenção, sobretudo no que diz respeito à proibição de se utilizar lavadoras de alta pressão para a limpeza da aeronave.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44888;001/D/12;2012-01-31;2012-01-31;NULL;Incluir no Normal Procedures Checklist do L410 UVP-E20, nos procedimentos previstos para o After Takeoff, um ou mais itens determinado o desligamento do water injection antes da redução das manetes de potência, informando as atualizações aos operadores.;AGUARDANDO RESPOSTA;LET;LET AIRCRAFT INDUSTRIES
44888;002/D/12;2012-01-31;2012-01-31;NULL;Incluir no AFM do L410 UVP-E20 Flight Manual, Section 4, Normal Procedures, o alerta previsto no Operation Manual Turboprop Engine - Models Walter M601E - Walter M601E-21, Manual Part No 0982404 page 2-6, informando as atualizações aos operadores.;AGUARDANDO RESPOSTA;LET;LET AIRCRAFT INDUSTRIES
44888;003/D/12;2012-01-31;2012-01-31;NULL;Incluir no AFM do L410 UVP-E20 Flight Manual, Section 7, Systems of Airplane,  o alerta previsto no Operation Manual Turboprop Engine - Models Walter M601E - Walter M601E-21, Manual Part No 0982404 page 2-6, informando as atualizações aos operadores.;CUMPRIDA;LET;LET AIRCRAFT INDUSTRIES
44888;004/D/12;2012-01-31;2012-02-06;2012-05-15;Verificar se o Operation Manual Turboprop Engine - Models Walter M601E - Walter M601E-21, Manual Part No 0982404 page 2-6 fez parte dos documentos previstos quando do processo de validação de certificação do LET 410 E e de seus motores.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44888;005/D/12;2012-01-31;2012-02-06;2015-10-07;Avaliar a necessidade de emissão de uma diretriz de aeronavegabilidade ou outro documento pertinente de maneira a assegurar que os operadores de Let 410 cumpram o previsto no Operation Manual Turboprop Engine - Models Walter M601E - Walter M601E-21, Manual Part No 0982404 page 2-6.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44888;006/D/12;2012-01-31;2012-02-06;2015-10-07;Revisar o AFM e demais documentos utilizados pelos operadores do LET 410 UVP E-20 tomando por referência o previsto no Operation Manual Turboprop Engine - Models Walter M601E - Walter M601E-21, Manual Part No 0982404 page 2-6.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44888;007/D/12;2012-01-31;2012-02-06;2012-05-15;Avaliar a necessidade de se rever o processo de certificação do LET 410 UVP E-20, com foco no estabelecido no Operation Manual Turboprop Engine - Models Walter M601E - Walter M601E-21, Manual Part No 0982404 page 2-6.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44888;IG-532/CENIPA/2015 - 01;2016-06-03;2016-07-14;2016-09-15;Adequar os regulamentos que normatizam a atividade das empresas aéreas, de modo a direcionar a comunicação de ocorrências aeronáuticas ao CENIPA ou SERIPA (conforme  preconizado na NSCA 3-13).;NÃO CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44888;IG-532/CENIPA/2015 - 02;2016-06-03;2016-07-14;NULL;Incluir no Normal Procedures Checklist do L410UVP-E20, nos procedimentos previstos para o After Takeoff, um ou mais itens determinando o desligamento do water injection, antes da redução dos manetes de potência, informando tais atualizações aos tripulantes.;CUMPRIDA;LET;LET AIRCRAFT INDUSTRIES
44888;IG-532/CENIPA/2015 - 03;2016-06-03;2016-07-14;NULL;Incluir no AFM do L410UVP-E20 Flight Manual, Section 4, Normal Procedures, o alerta previsto no Operation Manual Turboprop Engine – Models Walter M601E – Walter M601E-21, Manual Part n° 0982404 page 2-6, informando tais atualizações aos tripulantes.;AGUARDANDO RESPOSTA;LET;LET AIRCRAFT INDUSTRIES
44888;IG-532/CENIPA/2015 - 04;2016-06-03;2016-07-14;NULL;Incluir no AFM do L410UVP-E20 Flight Manual, Section 7, Systems of Airplane, o alerta previsto no Operation Manual Turboprop Engine – Models Walter M601E – Walter M601E-21, Manual Part n° 0982404 page 2-6, informando tais atualizações aos tripulantes.;AGUARDANDO RESPOSTA;LET;LET AIRCRAFT INDUSTRIES
44944;A-026/CENIPA/2013-RSV001;2013-07-30;2013-08-12;2013-10-11;Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves de áreas rurais, enfatizando a necessidade do cumprimento da legislação.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44944;A-026/CENIPA/2013-RSV002;2013-07-30;2013-08-12;2013-11-05;Intensificar a fiscalização com objetivo de criar mecanismos visando inibir a realização de encontro de pilotos de aeronaves, sem a supervisão adequada, a fim de evitar a realização de manobras acrobáticas e outros tipos de voo que além de servirem de mau exemplo para os outros pilotos, colocam em risco a operação aérea e a vida de terceiros.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44966;A-508/CENIPA/2016 - 01;2016-07-07;2016-07-14;2016-12-12;Realizar gestões na empresa Aero Agrícola Nordestina Ltda., a fim de que esta aprimore seus controles de supervisão gerencial.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44967;533/CENIPA/2017 - 02;2018-06-25;2018-06-25;NULL;Atuar junto ao Aeroclube do Rio Grande do Sul, a fim de que sejam estabelecidos mecanismos de supervisão, a fim de que sejam aprimorados os mecanismos de recebimento e verificação dos serviços de manutenção realizados em suas aeronaves.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44967;A-533/CENIPA/2017 - 01;2018-06-25;2018-06-25;NULL;Atuar junto ao Aeroclube do Rio Grande do Sul, a fim de que sejam estabelecidos mecanismos de supervisão gerencial, visando assegurar-se quanto ao fiel cumprimento dos procedimentos previstos em Manual de Voo e checklist por parte de seus pilotos.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44968;IG-518/CENIPA/2017 - 01;2017-11-30;2017-11-30;NULL;ATUAR JUNTO AO OPERADOR DA AERONAVE, O AEROCLUBE DE LONDRINA, A FIM DE QUE ESTE CUMPRA RIGOROSAMENTE O PROGRAMA DE INSTRUçãO PREVISTO NO MANUAL DO COMANDO DA AERONáUTICA (MCA) 58-3, SOBRETUDO NO QUE DIZ RESPEITO àS ATRIBUIçõES DO COORDENADOR DA INSTRUçãO PRáTICA E DO CONSELHO DE VOO.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44977;IG-532/CENIPA/2017 - 01;2020-05-29;2020-06-23;2020-08-06;Atuar junto ao administrador do Aeródromo de Jacarepaguá - Roberto Marinho (SBJR), afim de que o mesmo adeque as vias de acesso da área operacional, conforme os requisitosprevistos na Seção 153.429 - Vias de Acesso de Emergência, constantes no Regulamento Brasileiro da Aviação Civil (RBAC) nº 153, Emenda nº 04, que trata de Aeródromos -Operação, Manutenção e Resposta à Emergência.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44986;A-181/CENIPA/2011;2011-08-25;2011-08-25;2015-09-21;Tendo em vista a emissão do Boletim Técnico n° 139-265 pela Agusta, a emissão da Diretriz de Aeronavegabilidade de Emergência AD n° 2011-0156-E pela EASA, os reportes de dificuldades em serviço e os fatos conhecidos até o presente momento em relação às pás do rotor de cauda do helicóptero modelo AW139, avaliar junto à Autoridade Primária de Certificação (EASA) se as medidas mitigadoras adotadas são suficientes para assegurar um controle adequado das falhas nas referidas pás e permitem que a aeronave seja operada no Brasil em conformidade com os requisitos de certificação de tipo aplicáveis.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44986;A-546/CENIPA/2015 - 01;2017-06-22;2017-06-30;NULL;Reavaliar, em conjunto com a EASA e a AGUSTA, o processo de certificação do helicóptero AW139 em relação ao cumprimento da seção JAR 29.695 (b), de forma a considerar a necessidade de duplicidade da TRSOV nos dois sistemas hidráulicos.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44986;A-546/CENIPA/2015 - 02;2017-06-22;2017-06-30;NULL;Reavaliar, em conjunto com a EASA e a AGUSTA, os testes previstos na TRSOV, realizados ao término da produção, com a finalidade de verificar a sua confiabilidade diante das condições enfrentadas no acidente em questão.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44986;A-546/CENIPA/2015 - 03;2017-06-22;2017-06-30;NULL;Verificar, em conjunto com a EASA e AGUSTA, no programa de instrução da aeronave AW139 recomendado, a necessidade de incluir exercícios que adestrem os tripulantes com relação às forças laterais de inércia de alta intensidade que ocorrem em caso de falha do rotor de cauda em altas velocidades.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44988;426/2012;2012-09-20;2012-11-01;2013-02-25;Reavaliar a autorização de desvio concedida à Roraima Táxi-Aéreo Ltda. para a operação na pista da aldeia de Onkiola, no estado de Roraima, com o intuito de tornar mais segura a operação na referida localidade.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44988;427/2012;2012-09-20;2012-11-01;2013-02-25;Reavaliar os Manuais de Gerenciamento de Risco da Operação das Pistas não Registradas e Manual de Performance, Peso e Balanceamento das Pistas não Registradas, ambos confeccionados pela Roraima Táxi-Aéreo Ltda. e aprovados pela ANAC, nos quais são observadas divergências operacionais, dificultando a interpretação do conteúdo proposto.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44988;428/2012;2012-09-20;2012-11-01;2013-02-25;Atuar junto à Roraima Táxi-Aéreo, a fim de reavaliar a operação na localidade de Onkiola, com o intuito de mitigar os riscos provenientes da utilização de pistas com dimensões iguais ou inferiores a 400 metros de comprimento.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44988;429/2012;2012-09-20;2012-11-01;2013-02-25;Atuar junto à Roraima Táxi-Aéreo, a fim de que sejam efetuadas reuniões periódicas com os pilotos, visando abordar dificuldades encontradas na operação em localidades com maior grau de risco e reavaliar os Manuais de Operação da empresa, no que se refere à clareza do texto e aspectos operacionais estabelecidos.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44990;012/D/12;2012-02-27;2012-12-11;2015-12-21;Realizar uma verificação nas demais aeronaves da frota, quanto ao estado de limpeza dos tanques, filtros e bombas de combustível.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44990;013/D/12;2012-02-27;2012-12-11;2013-05-17;Estudar a possibilidade de aplicação de aditivos capazes de deter o crescimento das colônias e também fazê-las regredir, eliminando os microorganismos e tornando o tanque novamente estéril, em função do clima da região de operação.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
44990;014/D/12;2012-02-27;2012-12-11;2013-04-19;Realizar controle dos fornecedores de combustível, exigindo testes de detecção de água antes de todos os abastecimentos.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45025;A-509/CENIPA/2014 - 001;2015-03-20;2015-04-20;NULL;Tendo em vista os fatos relatados neste relatório, realizar gestões junto à Escola de Aviação Civil Golden Wings Ltda., de modo a orientar pilotos e pessoal de apoio para o que prevê a ABNT NBR 15216, que trata da qualidade e dos cuidados no transporte, armazenamento e abastecimento de combustíveis de aviação.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45047;008/D/12;2012-01-31;2012-12-11;2013-03-26;Reavaliar e incrementar ações efetivas de fiscalização para evitar que pilotos, com CHT e CCF vencidos, exerçam a atividade aérea com função a bordo, contrariando o que está previsto na legislação atualizada e vigente que regula a aviação civil brasileira.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45047;325/D/11;2012-02-06;2012-02-06;2012-05-24;Criar mecanismos para evitar que pilotos com CHT e CCF vencidos exerçam a atividade aérea com função a bordo em aeronaves.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45048;A-518/CENIPA/2018 - 01;2018-12-04;2018-12-04;NULL;ATUAR JUNTO à AEROCON ESCOLA DE AVIAçãO CIVIL, A FIM DE QUE AQUELE OPERADOR FORMALIZE A PADRONIZAçãO DE SUA INSTRUçãO AéREA, SOBRETUDO NO QUE DIZ RESPEITO AOS REQUISITOS DE UM VOO DE NAVEGAçãO, AOS PARâMETROS DE SEGURANçA A SEREM SEGUIDOS E AOS NíVEIS DE APRENDIZAGEM A SEREM ATINGIDOS PELO PILOTO EM INSTRUçãO.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45048;A-518/CENIPA/2018 - 02;2018-12-04;2018-12-04;NULL;ATUAR JUNTO à AEROCON ESCOLA DE AVIAçãO CIVIL, A FIM DE REAVALIAR A ADEQUABILIDADE DO SISTEMA DE GERENCIAMENTO DA SEGURANçA OPERACIONAL (SGSO) ADOTADO POR AQUELE OPERADOR, SOBRETUDO NO QUE DIZ RESPEITO AOS MECANISMOS DE SUPERVISãO GERENCIAL ESTABELECIDOS, VISANDO O ADEQUADO CUMPRIMENTO DO MANUAL DO CURSO DE PILOTO COMERCIAL ? HELICóPTERO.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45048;A-518/CENIPA/2018 - 03;2018-12-04;2018-12-04;NULL;ATUAR JUNTO à AEROCON ESCOLA DE AVIAçãO CIVIL, A FIM DE QUE AQUELE OPERADOR INTENSIFIQUE AS AçõES DE PREVENçãO DE ACIDENTES CONSTANTES EM SEU MANUAL DE GERENCIAMENTO DA SEGURANçA OPERACIONAL, COM A FINALIDADE DE AUMENTAR A CONSCIENTIZAçãO DE ALUNOS E INSTRUTORES SOBRE OS RISCOS DECORRENTES DA NãO OBSERVâNCIA DAS NORMAS E REGULAMENTOS AERONáUTICOS.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45049;A-519/CENIPA/2015 - 001;2015-06-06;2015-08-21;2015-12-15;Tendo em vista os fatos relatados neste relatório, realizar auditoria técnica junto ao operador da aeronave, buscando certificar se a manutenção programada de suas aeronaves, bem como os serviços fora de sede que são realizados por oficina homologada pela ANAC.;CUMPRIDA DE FORMA ALTERNATIVA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45051;A-501/CENIPA/2021 - 01;2021-07-08;2021-07-26;NULL;Divulgar os ensinamentos colhidos na presente investigação aos operadores da aeronave IPE KW1, acerca dos aspectos relacionados às condições inseguras que favorecem à perda de controle em voo e às instruções relativas à utilização de lastro.;AGUARDANDO RESPOSTA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45052;361/2012;2012-08-07;2012-10-16;NULL;"""Adotar providências visando o permanente funcionamento da """"biruta"""" no aeródromo de Iguatu, CE (SNIG).""";AGUARDANDO RESPOSTA;SI-CE;SECRETARIA DE INFRAESTRUTURA DO GOVERNO DO ESTADO DO CEARÁ
45052;362/2012;2012-08-07;2012-10-16;2012-12-10;Atuar junto à Ceará Táxi Aéreo Ltda., visando reforçar o treinamento de pousos no Programa de Treinamento da empresa.;CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
45052;363/2012;2012-08-07;2012-10-16;2012-11-19;"""Realizar auditoria técnica junto à Ceará Táxi Aéreo Ltda., buscando se certificar de que o controle do programa de manutenção, periódico e """"geriátrico"""", das aeronaves modelo C-310Q, está em conformidade com o previsto pelo fabricante.""";CUMPRIDA;ANAC;AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
