codigo_ocorrencia2;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
46499;PTRLJ;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-712;P28A;PISTÃO;MONOMOTOR;1157;1157;4;1981;BRASIL;BRASIL;AVIÃO;PARTICULAR;TITO TEIXEIRA;CAMPINA VERDE;DESCIDA;PRIVADA;SUBSTANCIAL;0
46512;PRFSW;PARTICULAR;AVIÃO;BEECH AIRCRAFT;D55;BE55;PISTÃO;BIMOTOR;2404;2404;6;1968;BRASIL;BRASIL;AVIÃO;PARTICULAR;VERA CRUZ;BARTOLOMEU DE GUSMÃO;CRUZEIRO;PRIVADA;LEVE;0
46513;PTJBL;***;AVIÃO;CESSNA AIRCRAFT;210L;C210;PISTÃO;MONOMOTOR;1724;1724;6;1973;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA;BREVES;POUSO;TÁXI AÉREO;SUBSTANCIAL;0
46514;PTAVD;INSTRUÇÃO;AVIÃO;CESSNA AIRCRAFT;150J;C150;PISTÃO;MONOMOTOR;726;726;2;1969;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;TERUEL IPANEMA ESTÂNCIA;DECOLAGEM;INSTRUÇÃO;SUBSTANCIAL;0
46515;PTFCS;TÁXI AÉREO;AVIÃO;DASSAULT AVIATION;FALCON 2000EX;F2TH;JATO;BIMOTOR;19414;19414;13;2007;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;ESTACIONAMENTO;TÁXI AÉREO;LEVE;0
46516;PRVBW;REGULAR;AVIÃO;BOEING COMPANY;737-7BX;B737;JATO;BIMOTOR;70080;70080;154;2001;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;REGULAR;NENHUM;0
46517;PRASP;INSTRUÇÃO;AVIÃO;DIAMOND AIRCRAFT;DA20-C1;DV20;PISTÃO;MONOMOTOR;800;800;2;2011;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;INSTRUÇÃO;NENHUM;0
46518;PRNHB;REGULAR;AVIÃO;LET AIRCRAFT INDUSTRIES;L410UVP-E20;L410;TURBOÉLICE;BIMOTOR;6600;6600;21;2006;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;REGULAR;LEVE;0
46519;PRAYK;REGULAR;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2010;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
46520;PTFTB;TÁXI AÉREO;AVIÃO;CESSNA AIRCRAFT;560;C560;JATO;BIMOTOR;7212;7212;11;1990;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;TÁXI AÉREO;NENHUM;0
46521;PREAJ;INSTRUÇÃO;AVIÃO;CESSNA AIRCRAFT;152;C152;PISTÃO;MONOMOTOR;757;757;2;1980;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;INSTRUÇÃO;NENHUM;0
46522;PROTK;PARTICULAR;AVIÃO;PILATUS;PC-12;PC12;TURBOÉLICE;MONOMOTOR;4740;4740;10;2010;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;PRIVADA;LEVE;0
46523;PRCML;PARTICULAR;AVIÃO;PIPER AIRCRAFT;PA-32R-301T;PA32;PISTÃO;MONOMOTOR;1633;1633;6;2005;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;PRIVADA;LEVE;0
46562;PRLGA;AGRÍCOLA;AVIÃO;CESSNA AIRCRAFT;A188B;C188;PISTÃO;MONOMOTOR;1497;1497;1;1977;BRASIL;BRASIL;AVIÃO;AGRÍCOLA;FORA DE AERODROMO;FORA DE AERODROMO;CIRCUITO DE TRÁFEGO;AGRÍCOLA;DESTRUÍDA;0
46563;PTLHE;PARTICULAR;AVIÃO;PIPER AIRCRAFT;PA-31;PA31;PISTÃO;BIMOTOR;2948;2948;8;1974;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;PRIVADA;SUBSTANCIAL;0
46564;PRBRO;***;AVIÃO;CESSNA AIRCRAFT;152;C152;PISTÃO;MONOMOTOR;757;757;2;1981;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;AERÓDROMO NACIONAL DE AVIAÇÃO;AERÓDROMO NACIONAL DE AVIAÇÃO;ARREMETIDA NO AR;INSTRUÇÃO;SUBSTANCIAL;0
46565;PRAPM;***;AVIÃO;AEROMOT;AMT-200SO;RF10;PISTÃO;MONOMOTOR;1050;1050;2;2007;BRASIL;BRASIL;AVIÃO;ADMINISTRAÇÃO DIRETA;TEIXEIRA DE FREITAS;TEIXEIRA DE FREITAS;POUSO;POLICIAL;SUBSTANCIAL;0
46566;PTVIR;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-810D;PA34;PISTÃO;BIMOTOR;2155;2155;6;1988;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;TÁXI AÉREO;SUBSTANCIAL;0
46567;PRLTT;***;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;BIMOTOR;2155;2155;6;2010;BRASIL;BRASIL;AVIÃO;PARTICULAR;SÃO SEBASTIÃO DO PARAÍSO;COMANDANTE PASCHOAL PATROCÍNIO FILHO;TÁXI;PRIVADA;SUBSTANCIAL;0
46568;PTUAD;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-201A;IPAN;PISTÃO;MONOMOTOR;1800;1800;1;1985;BRASIL;BRASIL;AVIÃO;ESPECIALIZADA;FORA DE AERODROMO;FORA DE AERODROMO;ESPECIALIZADA;AGRÍCOLA;SUBSTANCIAL;0
46569;PRFAN;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-721C;P32R;PISTÃO;MONOMOTOR;1633;1633;7;1977;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;PRIVADA;SUBSTANCIAL;0
46570;PRMRG;***;AVIÃO;CESSNA AIRCRAFT;525B;C25B;JATO;BIMOTOR;6291;6291;10;2007;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;HERCÍLIO LUZ;CONGONHAS;POUSO;TÁXI AÉREO;SUBSTANCIAL;0
46571;PUDGM;EXPERIMENTAL;ULTRALEVE;***;FOX VECTOR V6;ULAC;PISTÃO;MONOMOTOR;420;420;2;2008;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;OUTRA FASE;EXPERIMENTAL;DESTRUÍDA;1
46572;PPBPP;***;AVIÃO;PIPER AIRCRAFT;PA-34-220T;PA34;PISTÃO;BIMOTOR;2155;2155;6;2001;BRASIL;BRASIL;AVIÃO;PARTICULAR;BACACHERI;JUVENAL LOUREIRO CARDOSO;POUSO;PRIVADA;SUBSTANCIAL;0
46573;PPGRU;***;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;MONOMOTOR;770;770;2;1993;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;INSTRUÇÃO;SUBSTANCIAL;0
46574;PRWJD;REGULAR;AVIÃO;BOEING COMPANY;737-3Y0;B733;JATO;BIMOTOR;62282;62282;156;1988;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;REGULAR;NENHUM;0
46575;PRWJD;REGULAR;AVIÃO;BOEING COMPANY;737-3Y0;B733;JATO;BIMOTOR;62282;62282;156;1988;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA;REGULAR;NENHUM;0
46576;PRTTK;***;AVIÃO;AEROSPATIALE AND ALENIA;ATR-42-500;AT45;TURBOÉLICE;BIMOTOR;18600;18600;52;1996;BRASIL;BRASIL;AVIÃO;REGULAR;AEROPORTO DE IPATINGA - MG;CARLOS DRUMMOND DE ANDRADE / PAMPULHA;DECOLAGEM;REGULAR;NENHUM;0
46577;PTKHC;PARTICULAR;AVIÃO;CESSNA AIRCRAFT;172M;C172;PISTÃO;MONOMOTOR;1043;1043;4;1974;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;PRIVADA;LEVE;0
46581;PPZBI;EXPERIMENTAL;ULTRALEVE;***;EAGLE II;ULAC;PISTÃO;MONOMOTOR;525;525;2;1987;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;EXPERIMENTAL;DESTRUÍDA;2
46582;PTVRV;***;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-810D;PA34;PISTÃO;BIMOTOR;2155;2155;6;1995;BRASIL;BRASIL;AVIÃO;PARTICULAR;CONFRESA;MARECHAL RONDON;CRUZEIRO;PRIVADA;DESTRUÍDA;4
46583;PTMFW;***;AVIÃO;PIPER AIRCRAFT;PA-31T2;PAY2;TURBOÉLICE;BIMOTOR;4297;4297;7;1983;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;SÃO PEDRO;BACACHERI;APROXIMAÇÃO FINAL;TÁXI AÉREO;DESTRUÍDA;4
46584;PTVUF;***;AVIÃO;EMBRAER;EMB-202A;IPAN;PISTÃO;MONOMOTOR;1800;1800;1;2011;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;AGRÍCOLA;SUBSTANCIAL;0
46585;PPHJQ;***;AVIÃO;CIA AERONAUTICA PAULISTA;CAP-4;PAUL;PISTÃO;MONOMOTOR;587;587;2;1947;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;AEROCLUBE DE BAGÉ;FORA DE AERODROMO;POUSO;INSTRUÇÃO;SUBSTANCIAL;0
46586;PTGGB;AGRÍCOLA;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-201;IPAN;PISTÃO;MONOMOTOR;1800;1800;1;1975;BRASIL;BRASIL;AVIÃO;AGRÍCOLA;FORA DE AERODROMO;URUAÇU;POUSO;AGRÍCOLA;SUBSTANCIAL;0
46587;PTWFO;***;AVIÃO;BEECH AIRCRAFT;58;BE58;PISTÃO;BIMOTOR;2449;2449;6;1980;BRASIL;BRASIL;AVIÃO;ADMINISTRAÇÃO DIRETA;SÃO PEDRO;CAMPO GRANDE;CORRIDA APÓS POUSO;POLICIAL;SUBSTANCIAL;0
46588;PPZOE;EXPERIMENTAL;AVIÃO;JULIO CESAR MANDELLI;EXCEL;ZZZZ;PISTÃO;MONOMOTOR;970;970;3;2010;BRASIL;BRASIL;AVIÃO;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;INDETERMINADA;EXPERIMENTAL;DESTRUÍDA;2
46589;PUIRB;EXPERIMENTAL;ULTRALEVE;***;RV-9A;ULAC;PISTÃO;MONOMOTOR;750;750;2;2009;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;EXPERIMENTAL;LEVE;1
46590;PPMEJ;***;HELICÓPTERO;ROBINSON HELICOPTER;R22;R22;PISTÃO;MONOMOTOR;590;590;2;2001;BRASIL;BRASIL;HELICÓPTERO;INSTRUÇÃO;MARICÁ;MARICÁ;POUSO;INSTRUÇÃO;SUBSTANCIAL;0
46591;PRUTJ;***;HELICÓPTERO;ROBINSON HELICOPTER;R22 BETA;R22;PISTÃO;MONOMOTOR;621;621;2;1994;BRASIL;BRASIL;HELICÓPTERO;INSTRUÇÃO;JACAREPAGUÁ;JACAREPAGUÁ;MANOBRA;INSTRUÇÃO;DESTRUÍDA;2
46592;PTWIS;***;AVIÃO;EMBRAER;EMB-810C;PA34;PISTÃO;BIMOTOR;2073;2073;7;1980;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;TÁXI AÉREO;SUBSTANCIAL;0
46593;PTZRC;EXPERIMENTAL;AVIÃO;***;COMP AIR CA-7;ZZZZ;PISTÃO;MONOMOTOR;1885;1885;2;2007;BRASIL;BRASIL;AVIÃO;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;EXPERIMENTAL;SUBSTANCIAL;0
46594;PPKBO;***;AVIÃO;XAVANTE;A-122-B;A122;PISTÃO;MONOMOTOR;840;840;2;1978;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;EMBAIXADOR WALTHER MOREIRA SALLES;FORA DE AERODROMO;POUSO;INSTRUÇÃO;SUBSTANCIAL;0
46597;PTKOZ;PARTICULAR;AVIÃO;CESSNA AIRCRAFT;210L;C210;PISTÃO;MONOMOTOR;1724;1724;6;1974;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;PRIVADA;SUBSTANCIAL;0
46598;PPGCN;INSTRUÇÃO;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;MONOMOTOR;770;770;3;1991;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;INSTRUÇÃO;LEVE;0
46599;PTNTY;INSTRUÇÃO;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-712;P28A;PISTÃO;MONOMOTOR;1157;1157;4;1979;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;INSTRUÇÃO;NENHUM;0
46600;PPCIC;PARTICULAR;AVIÃO;CIRRUS DESIGN;SR22;SR22;PISTÃO;MONOMOTOR;1542;1542;4;2010;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;PRIVADA;NENHUM;0
46601;N471EV;***;AVIÃO;BOEING COMPANY;747-273C;B742;JATO;QUADRIMOTOR;351534;351534;0;1973;ESTADOS UNIDOS;ESTADOS UNIDOS;AVIÃO;***;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;***;LEVE;0
46602;PTRPG;PARTICULAR;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-711ST;P28T;PISTÃO;MONOMOTOR;1315;1315;4;1985;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;PRIVADA;LEVE;0
46603;PTVKZ;PARTICULAR;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-810D;PA34;PISTÃO;BIMOTOR;2155;2155;6;1989;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;PRIVADA;LEVE;0
46604;PTRSP;TÁXI AÉREO;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-810D;PA34;PISTÃO;BIMOTOR;2155;2155;7;1982;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;TÁXI AÉREO;NENHUM;0
46605;PRJPM;PARTICULAR;AVIÃO;PIPER AIRCRAFT;PA-46R-350T;PA46;PISTÃO;MONOMOTOR;1969;1969;6;0;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;PRIVADA;NENHUM;0
46606;PRPDD;REGULAR;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;22000;22000;73;1998;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;REGULAR;NENHUM;0
46612;PUATM;EXPERIMENTAL;ULTRALEVE;***;FASCINATION D4;ULAC;PISTÃO;MONOMOTOR;395;395;2;2001;BRASIL;BRASIL;ULTRALEVE;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;EXPERIMENTAL;LEVE;0
46613;PREXP;PARTICULAR;AVIÃO;CESSNA AIRCRAFT;525;C525;JATO;BIMOTOR;4717;4717;7;2002;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;DESCIDA;PRIVADA;LEVE;0
46614;PRAYV;REGULAR;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2011;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;REGULAR;NENHUM;0
46615;PPGEZ;INSTRUÇÃO;AVIÃO;AERO BOERO;AB-115;AB11;PISTÃO;MONOMOTOR;770;770;2;1992;BRASIL;BRASIL;AVIÃO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;INSTRUÇÃO;NENHUM;0
46616;PTVOJ;PARTICULAR;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-810D;PA34;PISTÃO;BIMOTOR;2155;2155;6;1991;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;PRIVADA;NENHUM;0
46617;PPMRA;PARTICULAR;HELICÓPTERO;HELIBRAS;AS 350 B3;AS50;TURBOEIXO;MONOMOTOR;2250;2250;6;2000;BRASIL;BRASIL;HELICÓPTERO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;PRIVADA;NENHUM;0
46618;PPPLE;PARTICULAR;AVIÃO;BEECH AIRCRAFT;58;BE58;PISTÃO;BIMOTOR;2449;2449;6;1978;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;PRIVADA;NENHUM;0
46624;PROTG;PARTICULAR;AVIÃO;HAWKER BEECHCRAFT;B300;B350;TURBOÉLICE;BIMOTOR;6804;6804;11;2006;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;PRIVADA;NENHUM;0
46625;PTYZD;ADMINISTRAÇÃO DIRETA;HELICÓPTERO;BELL HELICOPTER;407;B407;TURBOEIXO;MONOMOTOR;2268;2268;7;1999;BRASIL;BRASIL;HELICÓPTERO;ADMINISTRAÇÃO DIRETA;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;POLICIAL;NENHUM;0
46626;PTXXX1;***;HELICÓPTERO;HELIBRAS;***;***;TURBOEIXO;***;0;0;NULL;0;BRASIL;BRASIL;HELICÓPTERO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;PRIVADA;LEVE;0
46627;PTYVA;INSTRUÇÃO;HELICÓPTERO;ROBINSON HELICOPTER;R22;R22;PISTÃO;MONOMOTOR;590;590;2;1989;BRASIL;BRASIL;HELICÓPTERO;INSTRUÇÃO;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;INSTRUÇÃO;NENHUM;0
46628;PTRVH;TÁXI AÉREO;AVIÃO;EMBRAER;EMB-810D;PA34;PISTÃO;BIMOTOR;2155;2155;7;1984;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;TÁXI AÉREO;NENHUM;0
46629;PTOSN;PARTICULAR;AVIÃO;BEECH AIRCRAFT;C90A;BE9L;TURBOÉLICE;BIMOTOR;4581;4581;8;1990;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;ARREMETIDA NO AR;PRIVADA;LEVE;0
46630;PTBMG;***;AVIÃO;CESSNA AIRCRAFT;180D;C180;PISTÃO;MONOMOTOR;1202;1202;4;1961;BRASIL;BRASIL;AVIÃO;PARTICULAR;BATATAIS;FAZENDA MORRO VERMELHO;CORRIDA APÓS POUSO;PRIVADA;SUBSTANCIAL;0
46633;PPZGV;EXPERIMENTAL;AVIÃO;IVAN MOLCHAN;GV-2;ZZZZ;PISTÃO;MONOMOTOR;430;430;2;1985;BRASIL;BRASIL;AVIÃO;EXPERIMENTAL;FORA DE AERODROMO;FORA DE AERODROMO;MANOBRA;EXPERIMENTAL;SUBSTANCIAL;0
46638;PRTBL;PARTICULAR;AVIÃO;CESSNA AIRCRAFT;525B;C25B;JATO;BIMOTOR;6291;6291;9;2008;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;PRIVADA;LEVE;0
46639;PPWIN;PARTICULAR;AVIÃO;LEARJET;60;LJ60;JATO;BIMOTOR;10660;10660;10;1999;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;INDETERMINADA;PRIVADA;LEVE;0
46640;PPPJU;REGULAR;AVIÃO;EMBRAER;ERJ 190-100 LR;E190;JATO;BIMOTOR;50300;50300;113;2012;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;REGULAR;NENHUM;0
46647;PRAZF;REGULAR;AVIÃO;EMBRAER;ERJ 190-100 IGW;E190;JATO;BIMOTOR;51800;51800;113;2009;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;REGULAR;NENHUM;0
46648;PRAYS;REGULAR;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2011;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;REGULAR;NENHUM;0
46649;PRAZE;REGULAR;AVIÃO;EMBRAER;ERJ 190-100 IGW;E190;JATO;BIMOTOR;51800;51800;113;2009;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;REGULAR;NENHUM;0
46650;PRAZA;REGULAR;AVIÃO;EMBRAER;ERJ 190-100 IGW;E190;TURBOEIXO;BIMOTOR;51800;51800;112;2008;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;REGULAR;NENHUM;0
46651;PRAZA;REGULAR;AVIÃO;EMBRAER;ERJ 190-100 IGW;E190;TURBOEIXO;BIMOTOR;51800;51800;112;2008;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;REGULAR;NENHUM;0
46652;PRAYR;REGULAR;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2011;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;REGULAR;LEVE;0
46653;PRAYU;REGULAR;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;JATO;BIMOTOR;52290;52290;125;2011;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;REGULAR;LEVE;0
46655;N422LA;***;AVIÃO;BOEING COMPANY;767-346F;***;JATO;BIMOTOR;0;0;0;2007;ESTADOS UNIDOS;ESTADOS UNIDOS;AVIÃO;***;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;***;NENHUM;0
46671;N953AR;***;AVIÃO;MCDONNELL DOUGLAS;MD11;***;JATO;TRIMOTOR;285990;285990;0;1993;ESTADOS UNIDOS;ESTADOS UNIDOS;AVIÃO;***;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;***;NENHUM;0
46672;PRTTM;REGULAR;AVIÃO;AEROSPATIALE AND ALENIA;ATR-42-500;AT45;TURBOÉLICE;BIMOTOR;18600;18600;52;1997;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
46673;PPPJI;REGULAR;AVIÃO;EMBRAER;ERJ 170-200 LR;E170;JATO;BIMOTOR;38790;38790;92;2006;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;POUSO;REGULAR;LEVE;0
46674;PPPJD;REGULAR;AVIÃO;EMBRAER;ERJ 170-200 LR;E170;JATO;BIMOTOR;38790;38790;92;2006;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;SUBIDA;REGULAR;NENHUM;0
46675;PRPDC;REGULAR;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;23000;23000;75;2012;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;REGULAR;NENHUM;0
46676;PRMHM;REGULAR;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2007;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;CRUZEIRO;REGULAR;NENHUM;0
46677;PRMAV;REGULAR;AVIÃO;AIRBUS INDUSTRIE;A320-232;A320;JATO;BIMOTOR;77000;77000;166;2005;BRASIL;BRASIL;AVIÃO;REGULAR;FORA DE AERODROMO;FORA DE AERODROMO;DECOLAGEM;REGULAR;NENHUM;0
46679;PTVJN;PARTICULAR;AVIÃO;EMBRAER;EMB-810D;PA34;PISTÃO;BIMOTOR;2073;2073;6;1989;BRASIL;BRASIL;AVIÃO;PARTICULAR;FORA DE AERODROMO;FORA DE AERODROMO;APROXIMAÇÃO FINAL;PRIVADA;LEVE;0
46680;PTEHX;TÁXI AÉREO;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-721C;P32R;PISTÃO;MONOMOTOR;1633;1633;6;1976;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;TÁXI AÉREO;NENHUM;0
46681;PRCRF;TÁXI AÉREO;AVIÃO;CESSNA AIRCRAFT;208B;C208;TURBOÉLICE;MONOMOTOR;3969;3969;11;2010;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;CORRIDA APÓS POUSO;TÁXI AÉREO;NENHUM;0
46682;PTVMQ;TÁXI AÉREO;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;EMB-720D;PA32;PISTÃO;MONOMOTOR;1633;1633;7;1991;BRASIL;BRASIL;AVIÃO;TÁXI AÉREO;FORA DE AERODROMO;FORA DE AERODROMO;TÁXI;TÁXI AÉREO;LEVE;0
